Topic,Count,Name,Representation,KeyBERT,Representative_Docs
0,73314,0_warn_claim_world_open,"['warn', 'claim', 'world', 'open', 'report', 'lead', 'hope', 'boost', 'australia', 'water', 'group', 'test', 'final', 'health', 'continu', 'talk', 'record', 'consid', 'servic', 'chang', 'help', 'rise', 'return', 'minist', 'seek', 'industri', 'make', 'deal', 'year', 'meet']","['protest', 'rain', 'final', 'group', 'aussi', 'claim', 'minist', 'expect', 'drought', 'hospit']","['kessler claim indurain', 'school protest minist', 'australian doctor lead group']"
1,6576,1_iraq_crash_attack_dead,"['iraq', 'crash', 'attack', 'dead', 'bomb', 'blast', 'troop', 'injur', 'iraqi', 'baghdad', 'accid', 'hospit', 'woman', 'report', 'plane', 'soldier', 'kill', 'death', 'plane crash', 'miss', 'isra', 'bush', 'arrest', 'fatal', 'claim', 'investig', 'road', 'suicid', 'forc', 'probe']","['crash', 'road crash', 'highway crash', 'plane crash', 'fatal', 'woman', 'miss', 'fall', 'death', 'truck']","['woman crash', 'iraq that glisten gold', 'crash']"
2,5386,2_charg_court_face_concern,"['charg', 'court', 'face', 'concern', 'murder', 'jail', 'fine', 'hear', 'court hear', 'death', 'doubt', 'arrest', 'trial', 'child', 'action', 'meet', 'alleg', 'strike', 'claim', 'high court', 'high', 'bail', 'rais', 'cast', 'warn', 'worker', 'drug', 'sentenc', 'guilti', 'assault']","['face court', 'face trial', 'appear court', 'face', 'assault charg', 'court told', 'court', 'murder charg', 'charg', 'court hear']","['russian cyclist face court after world drug', 'face rape charg have alibi court told', 'face court after bodi find']"
3,4492,3_plan_council_consid_merger,"['plan', 'council', 'consid', 'merger', 'water', 'develop', 'reject', 'meet', 'fund', 'land', 'council seek', 'chang', 'group', 'seek', 'council reject', 'manag', 'welcom', 'park', 'boost', 'public', 'council merger', 'concern', 'protest', 'support', 'approv', 'mayor', 'centr', 'resid', 'rate', 'elect']","['council want', 'council seek', 'council', 'council meet', 'council merger', 'concern council', 'land council', 'council reject', 'develop plan', 'park plan']","['council form growth plan', 'plan super council', 'council elect plan']"
4,3637,4_polic_probe_investig_search,"['polic', 'probe', 'investig', 'search', 'miss', 'arrest', 'death', 'murder', 'shoot', 'hunt', 'drug', 'death polic', 'seek', 'fatal', 'road', 'victim', 'help', 'suspect', 'polic station', 'raid', 'polic continu', 'shoot polic', 'crash', 'polic offic', 'station', 'offic', 'search miss', 'driver', 'continu', 'attack polic']","['attack polic', 'polic', 'kill polic', 'murder polic', 'shoot polic', 'claim polic', 'death polic', 'polic offic', 'theft polic', 'polic station']","['polic probe blaze', 'polic investig crash', 'polic seek detail']"
5,3514,5_govt_fund_boost_local govt,"['govt', 'fund', 'boost', 'local govt', 'fund boost', 'local', 'plan', 'health', 'accus', 'consid', 'feder', 'govt reject', 'defend', 'claim', 'claim govt', 'reject', 'govt plan', 'region', 'servic', 'health fund', 'review', 'help', 'offer', 'hospit', 'deni', 'group', 'child', 'support', 'seek', 'indigen']","['govt', 'claim govt', 'warn govt', 'govt plan', 'report govt', 'local govt', 'govt reject', 'drought', 'consid', 'reform']","['govt water down', 'govt under fire over show fund', 'govt consid']"
6,1965,6_kill_iraq_soldier_attack,"['kill', 'iraq', 'soldier', 'attack', 'blast', 'troop', 'bomb', 'crash', 'baghdad', 'accid', 'palestinian', 'injur', 'isra', 'wound', 'iraqi', 'rebel', 'crash kill', 'iraq kill', 'gaza', 'kashmir', 'rebel kill', 'iraq attack', 'civilian', 'troop iraq', 'report', 'explos', 'afghan', 'kill iraqi', 'bomb blast', 'aceh']","['iraq kill', 'iraqi kill', 'kill iraqi', 'iraq soldier', 'attack iraq', 'iraq attack', 'troop iraq', 'iraq bomb', 'civilian kill', 'wound iraq']","['soldier kill iraq', 'soldier kill iraq', 'three soldier kill iraq']"
7,1116,7_charg_court_face_face court,"['charg', 'court', 'face', 'face court', 'murder', 'murder charg', 'drug', 'charg face', 'assault', 'woman', 'drug charg', 'death', 'stab', 'charg charg', 'teen', 'court drug', 'pair', 'attempt', 'attempt murder', 'jail', 'robberi', 'polic charg', 'woman face', 'face charg', 'appear court', 'appear', 'assault charg', 'shoot', 'polic', 'sydney']","['charg murder', 'murder charg', 'face murder', 'court murder', 'court charg', 'murder face', 'murder court', 'face court', 'charg court', 'charg face']","['face court attempt murder charg', 'woman face court solicit murder charg', 'murder charg face court']"
